Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
20,36.72039,127.33097,162005435,79090,78881,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-06
8,36.84408,127.17605,162005679,123505,123430,대한민국 충청남도 천안시 서북구 성거읍 요방리 219-7,2024-04-06
49,35.87467,128.73658,262003435,42974,42838,대한민국 대구광역시 동구 괴전동 산24-2,2024-04-03
9,37.34333,127.10556,162006266,120953,118994,대한민국 경기도 성남시 분당구 구미동 173-2,2024-04-06
40,36.07013,128.37529,262003923,70338,69910,대한민국 경상북도 구미시 오태동 228-2,2024-04-07
43,37.23222,127.10694,162006144,50039,51712,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-17
86,37.07361,127.13444,162005949,10397,10363,대한민국 경기도 안성시 원곡면 산하리 319-1,2024-04-18
7,37.15923,127.08844,162006058,121591,124560,대한민국 경기도 오산시 부산동 157-3,2024-04-04
1,37.09439,127.12184,162005969,144759,145348,대한민국 경기도 용인시 처인구 남사읍 진목리 949-383,2024-04-22
2,37.12583,127.09694,162006016,138706,139411,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-02
56,35.829574,129.119259,362003007,41012,41070,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-15
44,37.23222,127.10694,162006144,47536,49147,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-19
51,35.87467,128.73658,262003435,45675,46260,대한민국 대구광역시 동구 괴전동 산24-2,2024-04-14
0,37.16678,127.09193,162006064,169893,171398,대한민국 경기도 화성시 송동 425-9,2024-04-03
14,37.12663,127.09778,162006045,95342,91587,대한민국 경기도 평택시 진위면 동천리 596-3,2024-04-22
93,,,462015611,365,425,,2024-04-03
30,35.90586,128.4924,262003687,66807,65942,대한민국 경상북도 칠곡군 지천면 오산리 762-2,2024-04-10
82,36.13882,128.06343,262004287,21032,20911,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-18
66,36.15981,128.22747,262004121,34663,35398,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-07
57,35.829574,129.119259,362003007,36501,36405,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-14
34,36.68178,127.36983,162005373,51686,51658,대한민국 충청북도 청주시 흥덕구 옥산면 국사리 203,2024-04-12
47,36.33218,127.53434,162004882,48215,44833,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-09
15,36.80417,127.165,162005633,92225,91492,대한민국 충청남도 천안시 동남구 원성동 81-2,2024-04-20
21,35.95647,128.45522,262003756,73983,75267,대한민국 경상북도 칠곡군 지천면 연화리 772-11,2024-04-18
22,36.55249,127.43174,162005208,77340,83326,대한민국 충청북도 청주시 서원구 남이면 외천리 187-6,2024-04-03
90,36.85541,127.18106,162005692,7150,7158,대한민국 충청남도 천안시 서북구 성거읍 요방리 117-3,2024-04-06
